date,Temp,Prec,Evap,obs
2009-01-01,-7.02,0.0,0.31,1.07
2009-01-02,-4.15,0.24,0.4,1.02
2009-01-03,-7.37,1.96,0.31,0.95
2009-01-04,-3.86,6.35,0.42,0.89
2009-01-05,-4.99,0.46,0.39,0.84
2009-01-06,-11.79,0.0,0.17,0.78
2009-01-07,-11.17,0.07,0.2,0.73
2009-01-08,-10.66,0.0,0.22,0.71
2009-01-09,-10.27,0.0,0.24,0.67
2009-01-10,-8.75,0.0,0.3,0.65
2009-01-11,-9.81,0.0,0.26,0.63
2009-01-12,-8.02,0.0,0.33,0.61
2009-01-13,-5.93,0.0,0.42,0.61
2009-01-14,-6.37,0.05,0.41,0.6
2009-01-15,-3.25,0.0,0.54,0.6
2009-01-16,-4.69,0.14,0.49,0.58
2009-01-17,-1.87,2.01,0.61,0.56
2009-01-18,0.98,7.53,0.74,0.56
2009-01-19,1.24,7.28,0.76,0.63
2009-01-20,0.96,0.18,0.76,0.76
2009-01-21,-0.71,0.03,0.7,0.65
2009-01-22,-1.03,0.0,0.7,0.56
2009-01-23,0.16,18.99,0.76,0.56
2009-01-24,0.76,0.07,0.8,1.16
2009-01-25,-0.75,0.0,0.74,0.91
2009-01-26,-2.23,0.0,0.68,0.71
2009-01-27,-1.19,0.01,0.74,0.61
2009-01-28,-1.99,0.0,0.72,0.56
2009-01-29,-3.42,0.0,0.66,0.53
2009-01-30,-4.68,0.0,0.61,0.5
2009-01-31,-2.8,1.05,0.71,0.49
2009-02-01,-4.02,0.01,0.56,0.47
2009-02-02,-1.17,0.0,0.69,0.46
2009-02-03,-0.4,0.04,0.74,0.46
2009-02-04,-1.22,0.42,0.71,0.46
2009-02-05,0.42,0.29,0.8,0.44
2009-02-06,1.33,0.18,0.85,0.44
2009-02-07,0.69,0.08,0.83,0.46
2009-02-08,-0.19,0.01,0.8,0.46
2009-02-09,-1.32,11.14,0.75,0.44
2009-02-10,0.87,17.63,0.87,0.91
2009-02-11,-0.94,5.72,0.79,1.42
2009-02-12,-3.32,2.66,0.68,0.78
2009-02-13,-2.71,2.68,0.72,0.65
2009-02-14,-4.22,0.01,0.65,0.6
2009-02-15,-6.15,2.31,0.56,0.53
2009-02-16,-1.51,11.89,0.81,0.55
2009-02-17,-2.67,1.06,0.76,0.56
2009-02-18,-7.03,0.0,0.54,0.58
2009-02-19,-6.63,4.05,0.56,0.53
2009-02-20,-1.46,3.85,0.85,0.56
2009-02-21,0.62,5.82,0.98,0.56
2009-02-22,0.95,4.86,1.01,0.58
2009-02-23,1.33,3.72,1.04,0.87
2009-02-24,-0.37,0.06,0.95,1.42
2009-02-25,0.2,1.12,1.0,1.16
2009-02-26,1.84,7.54,1.1,1.13
2009-02-27,2.92,8.58,1.18,2.27
2009-02-28,3.75,1.54,1.24,4.15
2009-03-01,2.77,0.3,1.37,3.59
2009-03-02,2.33,0.97,1.36,3.35
2009-03-03,1.56,0.01,1.31,3.05
2009-03-04,3.57,0.0,1.47,3.02
2009-03-05,2.94,5.26,1.44,3.15
2009-03-06,3.26,5.26,1.47,3.78
2009-03-07,0.62,0.7,1.29,4.23
2009-03-08,1.91,6.46,1.4,3.48
2009-03-09,1.69,2.62,1.4,3.67
2009-03-10,1.73,13.21,1.41,3.38
2009-03-11,1.77,0.8,1.42,4.11
2009-03-12,1.33,17.49,1.4,3.74
2009-03-13,4.17,0.0,1.63,4.66
2009-03-14,4.28,1.32,1.65,4.31
2009-03-15,4.95,2.83,1.72,4.15
2009-03-16,4.46,0.1,1.69,4.31
2009-03-17,4.71,0.0,1.72,4.19
2009-03-18,2.59,0.0,1.57,3.89
2009-03-19,1.53,0.4,1.49,3.56
2009-03-20,-1.36,0.0,1.27,3.11
2009-03-21,-0.15,0.0,1.37,2.73
2009-03-22,2.11,1.89,1.57,2.46
2009-03-23,4.01,5.41,1.74,2.38
2009-03-24,0.47,1.8,1.45,2.43
2009-03-25,-1.65,11.27,1.28,2.25
2009-03-26,2.46,9.55,1.64,2.25
2009-03-27,4.58,1.74,1.83,3.28
2009-03-28,3.75,6.39,1.77,3.48
2009-03-29,3.96,0.04,1.79,3.63
2009-03-30,3.35,0.0,1.75,3.28
2009-03-31,4.64,0.0,1.87,3.02
2009-04-01,7.39,0.0,3.35,2.79
2009-04-02,11.12,0.0,3.88,2.82
2009-04-03,11.98,0.0,4.01,3.38
2009-04-04,11.0,0.85,3.89,3.89
2009-04-05,10.37,1.11,3.82,3.82
2009-04-06,11.16,0.0,3.95,3.59
2009-04-07,12.6,0.31,4.17,3.28
2009-04-08,10.96,0.01,3.95,2.99
2009-04-09,11.66,0.0,4.07,2.63
2009-04-10,13.64,0.0,4.37,2.33
2009-04-11,14.94,0.0,4.57,2.1
2009-04-12,14.42,0.0,4.51,1.93
2009-04-13,13.6,0.0,4.4,1.77
2009-04-14,13.3,1.15,4.37,1.59
2009-04-15,14.01,0.0,4.49,1.44
2009-04-16,13.96,6.29,4.5,1.33
2009-04-17,8.22,31.22,3.67,1.53
2009-04-18,7.17,2.09,3.53,2.35
2009-04-19,9.35,0.0,3.86,1.82
2009-04-20,10.92,0.0,4.1,1.59
2009-04-21,11.96,0.0,4.26,1.46
2009-04-22,8.61,1.1,3.77,1.33
2009-04-23,5.67,0.49,3.35,1.24
2009-04-24,9.51,0.0,3.92,1.16
2009-04-25,13.09,0.0,4.46,1.11
2009-04-26,13.27,0.0,4.49,1.05
2009-04-27,13.29,0.0,4.5,0.99
2009-04-28,11.09,4.13,4.18,0.91
2009-04-29,7.85,5.97,3.7,0.95
2009-04-30,9.78,4.68,3.99,1.04
2009-05-01,12.49,0.02,4.09,0.93
2009-05-02,12.83,0.56,4.14,0.84
2009-05-03,12.63,2.3,4.11,0.8
2009-05-04,6.67,0.02,3.29,0.78
2009-05-05,6.18,8.31,3.22,0.8
2009-05-06,9.3,0.95,3.66,0.97
2009-05-07,12.62,0.09,4.12,0.87
2009-05-08,12.57,2.91,4.11,0.84
2009-05-09,12.52,9.17,4.1,0.84
2009-05-10,13.65,4.53,4.26,1.13
2009-05-11,10.91,9.44,3.88,1.07
2009-05-12,10.59,1.87,3.83,1.1
2009-05-13,11.41,0.01,3.94,0.87
2009-05-14,12.08,0.0,4.03,0.82
2009-05-15,13.01,16.18,4.15,0.78
2009-05-16,10.88,0.0,3.85,1.13
2009-05-17,14.56,10.35,4.36,0.87
2009-05-18,13.95,0.01,4.27,1.02
2009-05-19,14.09,0.0,4.28,0.85
2009-05-20,16.39,4.2,4.59,0.8
2009-05-21,16.51,2.39,4.6,0.8
2009-05-22,13.7,1.37,4.2,0.8
2009-05-23,13.13,0.0,4.12,0.73
2009-05-24,18.5,0.0,4.84,0.69
2009-05-25,19.57,0.0,4.97,0.65
2009-05-26,18.25,3.09,4.78,0.61
2009-05-27,11.43,0.0,3.85,0.6
2009-05-28,10.27,2.72,3.68,0.6
2009-05-29,9.63,0.0,3.58,0.6
2009-05-30,11.06,1.33,3.77,0.55
2009-05-31,12.98,0.09,4.01,0.55
2009-06-01,14.61,0.03,3.89,0.53
2009-06-02,16.37,0.0,4.1,0.52
2009-06-03,10.23,0.0,3.33,0.5
2009-06-04,8.04,0.26,3.05,0.49
2009-06-05,8.61,0.01,3.11,0.49
2009-06-06,7.91,5.39,3.01,0.5
